gas,EB_region,mean,CI2.5,CI97.5,cv,EXIOBASE,UNFCCC,OECD,EDGAR
CO2,MX,395433.463893796,-0.0439614002676764,0.048107282574384,0.0237261573098429,-0.0422722558090648,,,0.233416293565367
CO2,NL,169867.980708233,-0.10796641030527,0.159312938379646,0.0694675474154691,-0.064367758254961,-0.0206120354652248,-0.0933243312962054,-0.00512065023635377
CO2,NO,65479.7355260034,-0.262653211940282,0.430206418210638,0.180440269480004,-0.104763757402177,,-0.0733588718313595,-0.300233350069902
CO2,PL,267623.821184866,-0.0513450163005593,0.0556745237986192,0.0275496392623339,-0.0467749276271516,0.169922983593833,0.0194662447911738,0.137925518605222
CO2,PT,45928.6307765958,-0.0632420162080486,0.122303292534906,0.0476969728663392,-0.00130838929055932,0.138593934426652,0.0168699177463616,0.139991355512182
CO2,RO,72566.2597983049,-0.0551506759045426,0.0770240332479775,0.0341275213597165,-0.232515426712594,0.0711002894990471,-0.0971220208660876,0.0919098395258742
CO2,RU,1510255.91554524,-0.0421430473525271,0.0435046301012014,0.0228352934850684,-0.152041742933421,,,0.121994154693208
CO2,SE,49908.3733404514,-0.154624126831307,0.300560158333874,0.121528763632102,-0.319666024743106,0.00287730963978805,-0.240496725039983,-0.114778919750694
CO2,SI,10546.4028654987,-0.0867847840592022,0.23093200567235,0.121514333776178,-0.0294921279489693,0.291203566596308,-0.0561463347314232,0.361473653849557
CO2,SK,28653.2209772649,-0.0422847741223024,0.0397831368315957,0.02031222396225,-0.0890540027415179,0.203502979253376,-0.0350030796907869,0.207713387525523
CO2,TR,341227.416224542,-0.0711346588018679,0.0862573572773628,0.0397631524728128,-0.0292734266195398,0.117538843169912,-0.00757424257739492,0.070137509457062
CO2,TW,265283.226822046,-0.0857105883487702,0.116402392550784,0.0512289816449312,0.00796861289529138,,,-0.00166520510149704
CO2,US,4094271.90279736,-0.0629535342482412,0.111145866582185,0.0402037853374811,-0.103069342809785,,,0.276269474413402
CO2,WA,1244053.4794494,-0.0326631671111519,0.04053861256808,0.018951944826451,0.280436448558779,,,
CO2,WE,762610.570337428,-0.0259132243324135,0.0281904852211912,0.0144356225412493,-0.58298721787599,,,
CO2,WF,276659.766312182,-0.0824165109500912,0.0858471610668901,0.0425406053030747,0.600289167060045,,,
CO2,WL,691377.605833438,-0.0320660121149712,0.0382537401384326,0.018039940570919,-0.0405666106589172,,,
CO2,WM,2223316.9383348,-0.0249056290685977,0.0258455863022222,0.0130438703731821,-0.160690031009513,,,
CO2,ZA,433727.33191812,-0.082090344001914,0.0869137477314612,0.0433617346165459,-0.183465708669618,,,0.100953482148656
N2O,AT,18.0815146883924,-0.630670679332938,0.93283033767295,0.440129697163312,-0.430593764070561,-0.345153593640483,-0.397672142644576,-0.246145567020142
N2O,AU,69.5853099895677,-0.562860106574429,0.620839856203281,0.318396787788164,2.33648577752751,-0.0568464383980739,,1.31155518974821
N2O,BE,32.4259935325796,-0.466721165174243,0.661375337270468,0.302481599843341,-0.595571276224359,-0.375443157796941,-0.395700860166022,-0.0480613811578481
N2O,BG,37.3670789354112,-0.742533398462372,1.02719466373905,0.479631179312123,-0.67176188494272,-0.54776515668865,-0.620789197237151,-0.673401378748587
N2O,BR,971.871884309435,-0.743007561196241,1.32379192508992,0.532455882574061,-0.429038524744179,,,-0.393454908073589
N2O,CA,125.81736642254,-0.399547133213858,0.401879152446316,0.198717316628346,-0.0248397517917506,-0.0267588508161343,,-0.105236041368237
N2O,CH,18.0655968748729,-0.454448623690341,0.571607420507764,0.261446159217118,-0.639649426324384,-0.45941925396541,-0.456314669920414,-0.543107391821977
N2O,CN,2126.47211031684,-0.606017496911248,0.881489216669416,0.388180781571011,-0.347764377445569,,,-0.358825261384751
N2O,CY,1.4479530483173,-0.522034156789912,1.27060271890918,0.508537918096353,-0.421536579767323,,-0.506890088162902,-0.316169068826241
N2O,CZ,21.3358208405169,-0.484756277108164,0.518054861896981,0.260009622384562,-0.181127531606289,-0.029228149587321,-0.0681399066567019,0.0422983789525051
N2O,DE,207.749837245312,-0.613208037334011,0.815233528927146,0.370292526705907,-0.464154134914265,-0.375425429929493,-0.494964706633637,-0.364071596060831
N2O,DK,27.333535623368,-0.452449161783677,1.0014470976542,0.377224232332434,-0.395768195614264,,-0.28315164675408,-0.31564679005141
N2O,EE,6.05560114632883,-0.449126054514997,0.552564476552899,0.249132688533373,-0.245465271130634,-0.48791249021411,-0.532664068914831,-0.44403725216017
N2O,ES,203.766072209277,-0.731926999547901,1.0143481966919,0.463318933689474,-0.708919643319156,-0.701282723905005,-0.730671551917456,-0.633292798002832
N2O,FI,20.1175562312199,-0.559470789792032,0.644407225769077,0.309563954326854,-0.154624240321521,-0.205206063473991,-0.213970135425285,0.0304611710342431
N2O,FR,164.05706935769,-0.564358291940244,1.2615436454117,0.518364331219361,-0.269197810341062,,-0.212463074551784,-0.188547672515713
N2O,GB,75.8945333115699,-0.463083088538375,0.538029307464588,0.263246611181124,0.166777589785747,-0.159363359836492,-0.113985934613437,0.143225460567359
N2O,GR,32.5804972861674,-0.551546843700308,0.872262965637696,0.3754915564093,-0.619226111162874,-0.562452167165976,-0.5683921004493,-0.546606926880254
N2O,HR,9.57487064078272,-0.359340612915623,0.783566245162311,0.326343404241771,-0.552888513447329,,-0.408660418253217,-0.107886196513593
N2O,HU,26.3219164787535,-0.783064529682403,1.38931918634739,0.592830796351907,-0.374037721962476,-0.422193541244187,-0.444379363037452,-0.216240993858507
N2O,ID,365.706501585525,-0.710251435178256,1.06296937673001,0.482915692454136,-0.257448150578053,,,-0.357660688495952
N2O,IE,26.772489303711,-0.739539150473416,1.05310497783503,0.483102343507057,0.140094247137756,-0.203455356250369,-0.198729720025454,0.0122913358410208
N2O,IN,1067.22445039719,-0.666512515403012,1.05380865077438,0.459656936813126,-0.275187625354613,,,-0.36886767893499
N2O,IT,60.2240361681827,-0.349592908412065,0.397552597921109,0.206593286873265,-0.252352996854608,-0.00487588387353888,-0.0550616727002861,-0.0727157065123003
N2O,JP,77.7148949602108,-0.342695049255354,0.479331182651844,0.208878709854841,-0.473976198834752,,,-0.170924906548293
N2O,KR,52.2811346087007,-0.342731664310951,0.51764680318688,0.225645626644958,-0.472256350207037,,-0.0872233290809601,-0.166598338752791
N2O,LT,13.1726687109552,-0.637083391761025,0.871080817793121,0.391118944918101,-0.132616479937541,-0.208891576026261,-0.233868229631638,0.367911009228397
N2O,LU,1.15562648034361,-0.475541927772037,0.970544613649878,0.384363816390616,-0.148248450797948,,-0.133803164754094,-0.106615537419146
N2O,LV,6.7099613923985,-0.644019879770621,0.694736325013541,0.363071297829459,-0.0648530486128976,-0.0389421964829868,-0.310279190988653,-0.157588408257521
N2O,MT,0.273403332219668,-0.482465099110304,2.03373722203899,0.994857993954362,-0.342914142021592,-0.442554117503561,-0.319686418998885,-0.359098685419041
