"","country","emi","rel.unc.min","rel.unc.max","sector","L1"
"2570","SLB",0.214709565,4.01778669663669,4.01778669663669,"3.C.1","CH4"
"2571","SLE",45.46490125,4.01778669663669,4.01778669663669,"3.C.1","CH4"
"2572","SLV",58.55496971,4.01778669663669,4.01778669663669,"3.C.1","CH4"
"2573","SOM",11.199190925,4.01778669663669,4.01778669663669,"3.C.1","CH4"
"2574","STP",0.0444954,4.01778669663669,4.01778669663669,"3.C.1","CH4"
"2575","SUR",5.477042693,4.01778669663669,4.01778669663669,"3.C.1","CH4"
"2576","SVK",29.329268837,0.860232526704263,0.860232526704263,"3.C.1","CH4"
"2577","SVN",3.8913688,0.860232526704263,0.860232526704263,"3.C.1","CH4"
"2578","SWE",13.25143775,0.860232526704263,0.860232526704263,"3.C.1","CH4"
"2579","SWZ",29.96956215,4.01778669663669,4.01778669663669,"3.C.1","CH4"
"2580","SYC",0.000368,4.01778669663669,4.01778669663669,"3.C.1","CH4"
"2581","SYR",56.151589645,4.01778669663669,4.01778669663669,"3.C.1","CH4"
"2582","TCD",55.98180525,4.01778669663669,4.01778669663669,"3.C.1","CH4"
"2583","TGO",39.489622725,4.01778669663669,4.01778669663669,"3.C.1","CH4"
"2584","THA",1962.8166135,4.01778669663669,4.01778669663669,"3.C.1","CH4"
"2585","TJK",11.44885833,0.860232526704263,0.860232526704263,"3.C.1","CH4"
"2586","TKL",0.001355408,4.01778669663669,4.01778669663669,"3.C.1","CH4"
"2587","TKM",18.883099,0.860232526704263,0.860232526704263,"3.C.1","CH4"
"2588","TLS",8.5934063,4.01778669663669,4.01778669663669,"3.C.1","CH4"
"2589","TON",0.0293001,4.01778669663669,4.01778669663669,"3.C.1","CH4"
"2590","TTO",0.203100075,4.01778669663669,4.01778669663669,"3.C.1","CH4"
"2591","TUN",1.422750269,4.01778669663669,4.01778669663669,"3.C.1","CH4"
"2592","TUR",969.07992755,0.860232526704263,0.860232526704263,"3.C.1","CH4"
"2593","TWN",23.110024775,4.01778669663669,4.01778669663669,"3.C.1","CH4"
"2594","TZA",210.861676875,4.01778669663669,4.01778669663669,"3.C.1","CH4"
"2595","UGA",71.2307115,4.01778669663669,4.01778669663669,"3.C.1","CH4"
"2596","UKR",476.920843425,0.860232526704263,0.860232526704263,"3.C.1","CH4"
"2597","URY",117.929283125,4.01778669663669,4.01778669663669,"3.C.1","CH4"
"2598","USA",1051.9195645,0.860232526704263,0.860232526704263,"3.C.1","CH4"
"2599","UZB",69.06138585,0.860232526704263,0.860232526704263,"3.C.1","CH4"
"2600","VCT",0.311781978,4.01778669663669,4.01778669663669,"3.C.1","CH4"
"2601","VEN",73.96197465,4.01778669663669,4.01778669663669,"3.C.1","CH4"
"2602","VNM",2468.173563225,4.01778669663669,4.01778669663669,"3.C.1","CH4"
"2603","VUT",0.414333575,4.01778669663669,4.01778669663669,"3.C.1","CH4"
"2604","WLF",0.010286096,4.01778669663669,4.01778669663669,"3.C.1","CH4"
"2605","WSM",0.048390778,4.01778669663669,4.01778669663669,"3.C.1","CH4"
"2606","YEM",13.751159835,4.01778669663669,4.01778669663669,"3.C.1","CH4"
"2607","ZAF",547.2457325,4.01778669663669,4.01778669663669,"3.C.1","CH4"
"2608","ZMB",141.43076025,4.01778669663669,4.01778669663669,"3.C.1","CH4"
"2609","ZWE",71.45769155,4.01778669663669,4.01778669663669,"3.C.1","CH4"
"2610","ABW",12.00485,1.22511362224882,1.22511362224882,"4.A","CH4"
"2611","AFG",525.85,1.22511362224882,1.22511362224882,"4.A","CH4"
"2612","AGO",1268.315,1.22511362224882,1.22511362224882,"4.A","CH4"
"2613","AIA",1.9975975,1.22511362224882,1.22511362224882,"4.A","CH4"
"2614","ALB",262.225,0.35,0.35,"4.A","CH4"
"2615","ANT",29.91575,1.22511362224882,1.22511362224882,"4.A","CH4"
"2616","ARE",4687.35,1.22511362224882,1.22511362224882,"4.A","CH4"
"2617","ARG",5099.7,1.22511362224882,1.22511362224882,"4.A","CH4"
"2618","ARM",260.05,0.35,0.35,"4.A","CH4"
"2619","ASM",7.592675,1.22511362224882,1.22511362224882,"4.A","CH4"
"2620","ATG",31.2385,1.22511362224882,1.22511362224882,"4.A","CH4"
"2621","AUS",8501.475,0.35,0.35,"4.A","CH4"
"2622","AUT",1130.0275,0.35,0.35,"4.A","CH4"
"2623","AZE",1640.9775,0.35,0.35,"4.A","CH4"
"2624","BDI",118.768,1.22511362224882,1.22511362224882,"4.A","CH4"
"2625","BEL",727.8975,0.35,0.35,"4.A","CH4"
"2626","BEN",286.915,1.22511362224882,1.22511362224882,"4.A","CH4"
"2627","BFA",568.69,1.22511362224882,1.22511362224882,"4.A","CH4"
"2628","BGD",4025.8,1.22511362224882,1.22511362224882,"4.A","CH4"
"2629","BGR",3374.1,0.35,0.35,"4.A","CH4"
"2630","BHR",467.895,1.22511362224882,1.22511362224882,"4.A","CH4"
"2631","BHS",232.85525,1.22511362224882,1.22511362224882,"4.A","CH4"
"2632","BIH",454.7,0.35,0.35,"4.A","CH4"
"2633","BLR",4025.575,0.35,0.35,"4.A","CH4"
"2634","BLZ",168.5965,1.22511362224882,1.22511362224882,"4.A","CH4"
"2635","BMU",14.03435,1.22511362224882,1.22511362224882,"4.A","CH4"
"2636","BOL",247.0785,1.22511362224882,1.22511362224882,"4.A","CH4"
"2637","BRA",51987.25,1.22511362224882,1.22511362224882,"4.A","CH4"
"2638","BRB",91.757,1.22511362224882,1.22511362224882,"4.A","CH4"
"2639","BRN",62.03775,1.22511362224882,1.22511362224882,"4.A","CH4"
"2640","BTN",81.76025,1.22511362224882,1.22511362224882,"4.A","CH4"
"2641","BWA",248.4595,1.22511362224882,1.22511362224882,"4.A","CH4"
"2642","CAF",161.90175,1.22511362224882,1.22511362224882,"4.A","CH4"
"2643","CAN",13189.1,0.35,0.35,"4.A","CH4"
"2644","CHE",0,NA,NA,"4.A","CH4"
"2645","CHL",2133.945,1.22511362224882,1.22511362224882,"4.A","CH4"
"2646","CHN",119764.25,1.22511362224882,1.22511362224882,"4.A","CH4"
"2647","CIV",711.09,1.22511362224882,1.22511362224882,"4.A","CH4"
